Varlik,Sembol,AlisFiyati,Adet,StopLoss,KarAl
Bitcoin,BTC-USD,80045.7578125,0.1249285442886817,76043.469921875,88050.33359375001
Ethereum,ETH-USD,2501.929931640625,3.996914491303345,2376.8334350585938,2752.1229248046875
Dogecoin,DOGE-USD,0.0885199978947639,112968.8232922056,0.0840939980000257,0.0973719976842403
Türk Hava Yolları,THYAO.IS,307.25,32.546786004882016,291.8875,337.975
Tüpraş (BIST),TUPRS.IS,380.75,26.26395272488509,361.7125,418.8250000000001
BİM (BIST),BIMAS.IS,413.75,24.169184290030213,393.0625,455.12500000000006
Astor Enerji,ASTOR.IS,349.0,28.653295128939828,331.55,383.9
Microsoft,MSFT,503.3699951171875,19.866102662062605,478.2014953613281,553.7069946289063
Apple,AAPL,313.7099914550781,31.876574774099776,298.0244918823242,345.08099060058595
Ons Altın,GC=F,4658.89990234375,2.146429459660489,4425.954907226563,5124.789892578126
