Zaman,Varlik,Sembol,Fiyat,StopLoss,KarAl,Trend,Tavsiye,Islem,Duygu
2026-08-27 22:51:23,Bitcoin,BTC-USD,0.0,0.0,0.0,VERİ ALINAMADI,İZLE,BEKLEMEDE,Nötr
2026-08-27 22:51:23,Ethereum,ETH-USD,0.0,0.0,0.0,VERİ ALINAMADI,İZLE,BEKLEMEDE,Nötr
2026-08-27 22:51:23,Dogecoin,DOGE-USD,0.0,0.0,0.0,VERİ ALINAMADI,İZLE,BEKLEMEDE,Nötr
2026-08-27 22:51:23,Türk Hava Yolları,THYAO.IS,0.0,0.0,0.0,VERİ ALINAMADI,İZLE,BEKLEMEDE,Nötr
2026-08-27 22:51:23,Tüpraş (BIST),TUPRS.IS,0.0,0.0,0.0,VERİ ALINAMADI,İZLE,BEKLEMEDE,Nötr
2026-08-27 22:51:23,BİM (BIST),BIMAS.IS,413.75,393.0625,455.125,YÜKSELİŞ,AL / TUT,OTO-ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 22:51:23,Astor Enerji,ASTOR.IS,349.0,331.55,383.9,YÜKSELİŞ,AL / TUT,OTO-ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 22:51:23,Microsoft,MSFT,505.33,480.0635,555.863,YÜKSELİŞ,AL / TUT,OTO-ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 22:51:23,Apple,AAPL,314.1,298.395,345.51,YÜKSELİŞ,AL / TUT,OTO-ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 22:51:23,Ons Altın,GC=F,4662.3999,4429.2799,5128.6399,YÜKSELİŞ,AL / TUT,OTO-ALIM YAPILDI (10000.0 TL),Nötr
