Zaman,Varlik,Sembol,Fiyat,StopLoss,KarAl,Trend,Tavsiye,Islem,Duygu
2026-08-27 21:55:27,Bitcoin,BTC-USD,80045.7578,76043.4699,88050.3336,YÜKSELİŞ,AL / TUT,YENİ SANAL ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 21:55:27,Ethereum,ETH-USD,2501.9299,2376.8334,2752.1229,YÜKSELİŞ,AL / TUT,YENİ SANAL ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 21:55:27,Dogecoin,DOGE-USD,0.0885,0.0841,0.0974,YÜKSELİŞ,AL / TUT,YENİ SANAL ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 21:55:27,Türk Hava Yolları,THYAO.IS,307.25,291.8875,337.975,YÜKSELİŞ,AL / TUT,YENİ SANAL ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 21:55:27,Tüpraş (BIST),TUPRS.IS,380.75,361.7125,418.825,YÜKSELİŞ,AL / TUT,YENİ SANAL ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 21:55:27,BİM (BIST),BIMAS.IS,413.75,393.0625,455.125,YÜKSELİŞ,AL / TUT,YENİ SANAL ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 21:55:27,Astor Enerji,ASTOR.IS,349.0,331.55,383.9,YÜKSELİŞ,AL / TUT,YENİ SANAL ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 21:55:27,Microsoft,MSFT,503.37,478.2015,553.707,YÜKSELİŞ,AL / TUT,YENİ SANAL ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 21:55:27,Apple,AAPL,313.71,298.0245,345.081,YÜKSELİŞ,AL / TUT,YENİ SANAL ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 21:55:27,Ons Altın,GC=F,4658.8999,4425.9549,5124.7899,YÜKSELİŞ,AL / TUT,YENİ SANAL ALIM YAPILDI (10000.0 TL),Nötr
2026-08-27 21:55:27,Solana,SOL-USD,107.83,102.4385,118.613,YÜKSELİŞ,AL / TUT,BEKLEMEDE,Nötr
2026-08-27 21:55:27,Avalanche,AVAX-USD,7.495,7.1202,8.2445,YÜKSELİŞ,AL / TUT,BEKLEMEDE,Nötr
2026-08-27 21:55:27,Akbank,AKBNK.IS,72.85,69.2075,80.135,YÜKSELİŞ,AL / TUT,BEKLEMEDE,Nötr
2026-08-27 21:55:27,İş Bankası (C),ISCTR.IS,12.75,12.1125,14.025,YÜKSELİŞ,AL / TUT,BEKLEMEDE,Nötr
2026-08-27 21:55:27,Ereğli Demir Çelik,EREGL.IS,38.6,36.67,42.46,DÜŞÜŞ/YATAY,DİKKAT / RİSK,DÜŞÜŞ TRENDİ,Nötr
2026-08-27 21:55:27,Sasa Polyester,SASA.IS,2.38,2.261,2.618,DÜŞÜŞ/YATAY,DİKKAT / RİSK,DÜŞÜŞ TRENDİ,Nötr
2026-08-27 21:55:27,Nvidia,NVDA,225.5599,214.2819,248.1159,YÜKSELİŞ,AL / TUT,BEKLEMEDE,Nötr
2026-08-27 21:55:27,Tesla,TSLA,354.82,337.079,390.302,YÜKSELİŞ,AL / TUT,BEKLEMEDE,Nötr
2026-08-27 22:05:25,Bitcoin,BTC-USD,80242.6016,76230.4715,88266.8617,YÜKSELİŞ,AL / TUT,ZATEN PORTFÖYDE VAR,Nötr
2026-08-27 22:05:25,Ethereum,ETH-USD,2508.8701,2383.4266,2759.7571,YÜKSELİŞ,AL / TUT,ZATEN PORTFÖYDE VAR,Nötr
